longitude,latitude,aut
15.01666667,49.93805556,0.240866005
15.01694444,49.93805556,0.240866005
15.0175,49.93805556,0.240866005
15.01777778,49.93805556,0.240866005
15.02,49.93805556,0.240866005
15.02111111,49.93805556,0.240866005
15.06444444,49.93805556,0.203143001
15.06472222,49.93805556,0.203143001
15.06527778,49.93805556,0.203143001
15.06555556,49.93805556,0.203143001
15.06583333,49.93805556,0.203143001
15.06638889,49.93805556,0.203143001
15.06666667,49.93805556,0.203143001
15.06722222,49.93805556,0.203143001
15.07166667,49.93805556,0.203143001
15.07583333,49.93805556,0.203143001
15.08555556,49.93805556,0.203143001
15.08583333,49.93805556,0.203143001
15.08638889,49.93805556,0.203143001
15.08666667,49.93805556,0.203143001
15.08694444,49.93805556,0.203143001
15.09944444,49.93805556,0.182272002
15.09972222,49.93805556,0.182272002
15.1,49.93805556,0.182272002
15.10777778,49.93805556,0.182272002
15.12305556,49.93805556,0.231447995
15.12472222,49.93805556,0.231447995
15.12527778,49.93805556,0.231447995
15.12555556,49.93805556,0.231447995
15.12611111,49.93805556,0.231447995
15.14888889,49.93805556,0.231447995
15.15,49.93805556,0.231447995
15.15027778,49.93805556,0.231447995
15.15055556,49.93805556,0.231447995
15.15083333,49.93805556,0.231447995
15.15111111,49.93805556,0.231447995
15.15138889,49.93805556,0.231447995
15.15277778,49.93805556,0.231447995
15.15333333,49.93805556,0.231447995
15.15388889,49.93805556,0.231447995
15.19027778,49.93805556,0.255964994
15.19222222,49.93805556,0.255964994
15.1925,49.93805556,0.255964994
15.19305556,49.93805556,0.255964994
15.23472222,49.93805556,0.255964994
15.235,49.93805556,0.255964994
15.23527778,49.93805556,0.255964994
15.23555556,49.93805556,0.255964994
15.23666667,49.93805556,0.255964994
15.23694444,49.93805556,0.255964994
15.23805556,49.93805556,0.255964994
15.23916667,49.93805556,0.255964994
15.25972222,49.93805556,0.726225972
15.26,49.93805556,0.726225972
15.26027778,49.93805556,0.726225972
15.26055556,49.93805556,0.726225972
15.26111111,49.93805556,0.726225972
15.26166667,49.93805556,0.726225972
15.26194444,49.93805556,0.726225972
15.26222222,49.93805556,0.726225972
15.2625,49.93805556,0.726225972
15.26277778,49.93805556,0.726225972
15.26305556,49.93805556,0.726225972
15.26333333,49.93805556,0.726225972
15.27861111,49.93805556,0.726225972
15.27888889,49.93805556,0.726225972
15.27916667,49.93805556,0.726225972
15.27944444,49.93805556,0.726225972
15.28055556,49.93805556,0.726225972
15.28277778,49.93805556,0.726225972
15.28305556,49.93805556,0.726225972
15.28333333,49.93805556,0.726225972
15.28388889,49.93805556,0.726225972
15.28472222,49.93805556,0.726225972
15.285,49.93805556,0.726225972
15.28527778,49.93805556,0.726225972
15.31055556,49.93805556,0.726225972
15.34277778,49.93805556,0.298455
15.34305556,49.93805556,0.298455
15.39305556,49.93805556,0.858766019
15.39777778,49.93805556,0.858766019
15.39805556,49.93805556,0.858766019
15.50333333,49.93805556,0.101383001
15.50361111,49.93805556,0.101383001
15.50388889,49.93805556,0.101383001
15.50416667,49.93805556,0.101383001
15.50444444,49.93805556,0.101383001
15.50472222,49.93805556,0.101383001
15.505,49.93805556,0.101383001
15.50555556,49.93805556,0.101383001
15.50583333,49.93805556,0.101383001
15.50611111,49.93805556,0.101383001
15.50638889,49.93805556,0.101383001
15.5075,49.93805556,0.101383001
15.50805556,49.93805556,0.101383001
15.50833333,49.93805556,0.101383001
15.50861111,49.93805556,0.101383001
15.52944444,49.93805556,0.100772999
15.52972222,49.93805556,0.100772999
